feature,coef_mean,coef_std
population_share,0.1303092,0.0047077807
turn_progress,0.093018845,0.005475017
votes_share,0.0857842,0.004667355
technologies_gap,0.084126495,0.0051941057
policies_gap,0.06799294,0.0052224626
religion_percentage,0.057118684,0.0057402323
minor_allies_share,0.054879837,0.00278204
tourism_share,0.054251738,0.0032341187
happiness_percentage,0.047222145,0.003044965
production_share,0.045772027,0.0033783545
military_share,0.040255904,0.0018658224
gold_share,0.021573855,0.012107363
