feature,coef_mean,coef_std,robust_se_mean,robust_se_std,z_stat_mean,z_stat_std,n_folds_significant
population_share,0.9088840025647315,0.05069362860615976,0.08304513583005298,0.002618797870829226,10.953427882291596,0.7166694883422958,5
policies_gap,-0.7452273121711018,0.08053208615178833,0.10242519885070529,0.005572675774445486,-7.275207049859749,0.6670137571226716,5
technologies_gap,-0.6345388958921019,0.06553662194845904,0.07719003760720795,0.0029602277255224244,-8.219239232715474,0.760098825081239,5
minor_allies_share,0.3264842757140358,0.019707187799366435,0.03960554261200462,0.0007161310501561494,8.242314530009876,0.4478704072739457,5
votes_share,0.21315514287265613,0.020300017851149002,0.04541400630057959,0.0006381177850498709,4.692389291171191,0.4232305425504178,5
production_share,0.1818810127080611,0.020982123981890918,0.03734516823975306,0.0013690176942969007,4.8685315184517295,0.5167351561274108,5
religion_percentage,0.16790397528046203,0.038910706875258966,0.06830450906971622,0.002624494448454857,2.4495671661137814,0.5152631779417359,5
happiness_percentage,0.13897173320110542,0.02892139179516907,0.03155768701549262,0.0009669090417850657,4.404213379414715,0.9137052363287782,5
military_share,-0.04387270946308713,0.018611600073060612,0.034676347716319264,0.001378456101884546,-1.268287321039813,0.5447790413148561,0
gold_share,0.023793281056273836,0.013791673986365391,0.01971008208626402,0.014849384585967101,1.4927887402727493,0.6399457477076055,1
tourism_share,0.008764393699688539,0.01681510793763692,0.029670759050121676,0.0007054669169667799,0.3028261277980937,0.5669580343565935,0
