feature,coef_mean,coef_std
turn_progress,0.072361335,0.007460001
technologies_gap,0.06091131,0.013471665
population_share,0.051169872,0.01695905
votes_share,0.047803015,0.006196975
military_utilization,0.045642607,0.0054677343
policies_gap,0.044315487,0.006797454
tourism_share,0.04083356,0.005534725
military_share,0.039896756,0.008850888
happiness_percentage,0.03920679,0.010202808
gold_share,0.036182392,0.008107526
minor_allies_share,0.035480894,0.009476523
production_share,0.033404365,0.0072149443
religion_percentage,0.031498887,0.005704353
