feature,coef_mean,coef_std
turn_progress,0.035784747,0.002837945
cities,0.023403205,0.0029177382
technologies_gap,0.022543654,0.0020132656
population,0.017619142,0.0017761018
policies_gap,0.016710032,0.0029820355
faith_adj,0.016498268,0.001136316
culture_adj,0.014742707,0.0015582667
votes,0.0141963605,0.0022716138
science_adj,0.011353685,0.0020430835
tourism_adj,0.011321276,0.0004982232
gold_adj,0.011093309,0.0009915727
production_adj,0.010957536,0.0019935404
happiness_percentage,0.010248717,0.00035655146
military_adj,0.008775324,0.0019434738
food_adj,0.008578664,0.001031833
military_utilization,0.00827958,0.0008444362
minor_allies,0.0074123926,0.00091388135
religion_percentage,0.0069947094,0.0013219782
