feature,coef_mean,coef_std
turn_progress,0.09386665,0.006533831
technologies_gap,0.08267583,0.007882812
policies_gap,0.08201172,0.01153062
votes_share,0.081211686,0.004537884
population_share,0.07528703,0.002509333
religion_percentage,0.07047095,0.006681914
happiness_percentage,0.07046874,0.0060368674
military_utilization,0.06924788,0.008783414
military_share,0.067957245,0.0036621743
production_share,0.06555057,0.0045955647
tourism_share,0.064780354,0.0038339768
minor_allies_share,0.059696622,0.00912479
gold_share,0.010851221,0.0026257443
