feature,coef_mean,coef_std
technologies_gap,0.22659226,0.024679594
population_share,0.19874875,0.01460302
policies_gap,0.18474123,0.009903083
votes_share,0.111291565,0.0065519246
minor_allies_share,0.0660273,0.0019624908
religion_percentage,0.049196724,0.0027605467
turn_progress,0.033954374,0.0013147542
production_share,0.032531943,0.002556575
happiness_percentage,0.029387321,0.0022117314
gold_share,0.026282098,0.0009590634
tourism_share,0.023940733,0.00067230477
military_share,0.017305713,0.0008441959
