feature,coef_mean,coef_std
policies_gap,0.20938435,0.01622825
population_share,0.1949211,0.030047106
technologies_gap,0.15677366,0.036995083
religion_percentage,0.15295291,0.031240731
votes_share,0.091512285,0.009906574
minor_allies_share,0.073921494,0.011765184
production_share,0.051602673,0.0066236975
turn_progress,0.023933882,0.010809281
happiness_percentage,0.019295318,0.0021288674
gold_share,0.016023288,0.0026741757
tourism_share,0.0069925142,0.004299558
military_share,0.0026865387,0.002114675
